,latitude,longitude,name,sub_type,management,ward_name,lga_name,state_name
0,6.305565000000058,6.500436000000036,Issele Uku Technical College Issele Uku,Adult Education,Public,Issele-Uku 1,Aniocha North,Delta
1,6.383765000000039,6.564490000000035,Matmo Technical Vocational College,Standard,Private,Onicha-Olona,Aniocha North,Delta
2,6.1641,6.57215,Admiralty University,Tertiary,Public,Otulu,Aniocha South,Delta
3,6.22194,6.56943,Delta State Polytechnic Ogwashi Uku,Tertiary,Public,Otulu,Aniocha South,Delta
4,5.170780000000036,5.93012600000003,Azobemors International Educational Centre,Aggregate,Private,Bomadi,Bomadi,Delta
5,5.7441240006338,5.991812462820403,State School of Nursing,Adult Education,State Government,Ovu,Ethiope East,Delta
6,5.951058000000046,5.68967200000003,Best Brain University Academy,Standard,Public,Ogharefe 1,Ethiope West,Delta
7,5.94421,5.67096,Western Delta University Ogharefe,Adult Education,Public,Ogharefe 1,Ethiope West,Delta
8,6.255114248806386,6.180496991477841,College of Education,Adult Education,State Government,Emuhu,Ika South,Delta
9,6.256647837642676,6.183958357117053,State School of Nursing,Adult Education,State Government,Emuhu,Ika South,Delta
10,6.25637,6.18459,School Of Nursing Alibuba,Adult Education,Public,Emuhu,Ika South,Delta
11,5.53875800000003,6.226370000000031,Institue Of Continuos Education Ozoro,Standard,Private,Ozoro 2,Isoko North,Delta
12,5.543933000000038,6.238046000000054,Women Education Centre Ozoro,Adult Education,Public,Ozoro 3,Isoko North,Delta
13,5.545473000000072,6.2293450000000234,Golden Edu Center,Standard,Public,Ozoro 3,Isoko North,Delta
14,5.5439060000000495,6.238056000000029,Isoko North Skill Acquisation Center Ozoro,Adult Education,Private,Ozoro 3,Isoko North,Delta
15,5.684582000000034,6.411929000000043,Otagba Ogbe Technical College Kwale,Standard,Public,Ogume 7,Ndokwa West,Delta
16,6.20085,6.68997,University Of Asaba Asaba,Adult Education,Public,Umuodafe,Oshimili North,Delta
17,5.57447,5.79591,Federal University Of Petroleum Resources Effurun,Adult Education,Public,Alaka,Uvwie,Delta
18,5.57186,5.84104,The Federal University Of Petroleum Reources Main Campus Ugbomro,Adult Education,Public,Ugbomro,Uvwie,Delta
19,5.534263000000067,5.759802000000036,Science Prepartory Centre,Standard,Private,Esisi,Warri South,Delta
20,5.520348462104127,5.7401191732410775,State School of Nursing,Adult Education,State Government,Okere,Warri South,Delta
21,5.518687000000057,5.747221000000025,Institute Of Continuing Education,Standard,Public,Okere,Warri South,Delta
0,4.976040000000069,7.792313000000036,Government Technical College,Adult Education,Public,Abak 3,Abak,Akwa Ibom
1,4.635037616266375,7.9221147300764185,School Of Pyschiatry Nursing Atibe,Adult Education,Public,Urban 4,Eket,Akwa Ibom
2,4.671838000000037,8.00478400000003,Eket Vocational Technical College Effoi,Adult Education,Private,Central 4,Eket,Akwa Ibom
3,4.658474115447599,8.104074307860262,Hidden Treasure Christian Acedemy Idung Akpesan,Adult Education,Public,Etebi 1,Esit Eket,Akwa Ibom
4,4.663128000000029,8.04711100000003,Union Technical College,Adult Education,Faith Based,Uquo 1,Esit Eket,Akwa Ibom
5,4.726830000000064,7.816594000000066,Adult Education Centre,Adult Education,Public,South Iman 4,Etinan,Akwa Ibom
6,4.972199000000046,7.469303000000025,Ika Community Vocational Institute,Adult Education,Public,Odoro 2,Ika,Akwa Ibom
7,5.032712731168123,7.587678423307863,Life Leadership University Ikot Antia,Adult Education,Public,Achan 3,Ika,Akwa Ibom
8,4.581800000000044,7.657271000000037,Ukpum Ete Secondary Technical School Ete,Adult Education,Public,Ukpon Ete 2,Ikot Abasi,Akwa Ibom
9,5.17936700000007,7.723162000000059,Mid Town Secondary Community School,Adult Education,Public,Ikot Ekpene Urban,Ikot Ekpene,Akwa Ibom
10,4.66161500000004,8.256204000000025,Mbo Vocational and Craft Center Enwang,Adult Education,Public,Enwang 1,Mbo,Akwa Ibom
11,4.621507846069868,7.763546151746724,Akwa Ibom State University Ikot Akpaden,Adult Education,Public,Ikpa Ibom 3,Mkpat Enin,Akwa Ibom
12,4.857471000000032,7.889293000000066,Social Dev Edu info Youth and Sport,Adult Education,Public,Mbiaso 1,Nsit Ibom,Akwa Ibom
13,4.77108,7.903439999999999,Norman Cummings Nursing Ikot Akan,Adult Education,Public,Itreto,Nsit Ubium,Akwa Ibom
14,4.859862000000021,8.162445000000048,Odu College,Adult Education,Public,Nung Atai Ube 1,Okobo,Akwa Ibom
15,4.806889000000069,8.236313000000052,Mainland Technical College Oron,Adult Education,Public,Uko Uyikim,Oron,Akwa Ibom
16,4.682922000000076,7.584922000000063,Adult Education Center Ikot Akpan Udo 1,Adult Education,Public,Abak Midim 4,Oruk Anam,Akwa Ibom
17,4.9654,7.76175,Akwa Ibom State University Ata Obio Akpa,Adult Education,Public,Ndot Ikot Okoro 2,Oruk Anam,Akwa Ibom
18,4.857232000000067,7.538682000000051,Social Dev Edu info sports culture,Adult Education,Public,Ward 2,Ukanafun,Akwa Ibom
19,5.027911000000074,7.9406940000000645,Government Technical College Ewet uyo,Adult Education,Public,Urban 3,Uyo,Akwa Ibom
20,5.043711662,7.924296856,University,Adult Education,Public,Urban 2,Uyo,Akwa Ibom
